"style_name","spec_type","product_dimensions","package_dimensions","weight_kg","confidence","note"
"单人029兔绒","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg"
"华夫格沙发","单人","80 x 95 x 74 cm","90 x 30 x 28 cm","16.5","high","详情图：Single Sofa"
"华夫格沙发","双人","160 x 95 x 74 cm","120 x 40 x 36 cm","30","high","详情图：Double Sofa"
"华夫格沙发","脚踏","80 x 60 x 30 cm","90 x 30 x 28 cm","10","high","详情图：Ottoman"
"毛毛虫沙发","单人","90 x 107 x 75 cm","90 x 30 x 28 cm","15","high","详情图：Single Sofa"
"毛毛虫沙发","双人","130 x 101 x 75 cm","135 x 30 x 30 cm","21.5","high","详情图：Double Sofa"
"毛毛虫沙发","三人","待确认","165 x 30 x 30 cm","26","medium","详情图仅给 Three-Seater 包装重量，成品尺寸未明确显示"
"棉花糖沙发1","组合/三人带脚踏","272 x 92 x 66 cm; 脚踏约90 x 92 x 35 cm","脚踏箱30 x 30 x 92 cm; 双人2箱35 x 95 x 100 cm; 三人2箱38 x 38 x 100 cm + 1箱35 x 35 x 100 cm","脚踏12; 双人38; 三人52","high","详情图：Marshmallow Dimensions & Packaging"
"泡泡沙发","单人","118 x 116 x 65 cm","124 x 36 x 36 cm","26.9","high","详情图：Single Sofa"
"泡泡沙发","双人","199 x 128 x 69 cm","135 x 40 x 40 cm","50.53","high","详情图：Double Sofa"
"变色龙（马里奥）沙发","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires"
"三折叠沙发","折叠沙发床","沙发态80 x 100 x 65 cm; 半展开约150 cm; 平铺180 x 80 x 63 cm","30 x 30 x 93 cm","17","high","详情图 Dimensions & Packaging"
"人类狗窝","沙发床","沙发态200 x 100 x 60 cm; 展开200 x 200 x 33 cm","50 x 50 x 120 cm","待确认","high","详情图人物场景替换版"
"蛋壳沙发","沙发床","沙发态200 x 65 x 90 cm; 展开约200 x 200 x 33 cm","120 x 36 x 36 cm","30","high","详情图 Dimensions & Packaging"
"花瓣沙发","单人圆形","约100 x 100 x 60 cm","约100 x 100 x 35 cm","23","high","详情图左右切片拼接长图"
"鹅卵石沙发","组合","约480 x 230 cm","3箱，每箱约50 x 50 x 130 cm","70","medium","详情图未清楚显示高度，显示总重70kg"
"花生沙发床","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注"
"饺子椅","单人","约92-96 x 92 x 73 cm; 座深46 cm; 前高32 cm","30 x 30 x 100 cm","16","high","详情图 Dimensions & Packaging"
"可戚风","单人","100 x 100 x 73 cm","90 x 28 x 28 cm","待确认","high","详情图长图人物场景替换版"
"莱米沙发","单人模块","100 x 92 x 64 cm; 另一模块94 x 94 x 64 cm","93 x 30 x 28 cm","待确认","high","横版详情图"
"莱米沙发","脚踏","95 x 80 x 37 cm","93 x 30 x 28 cm","待确认","high","横版详情图"
"妈妈的怀抱沙发","单人模块","100 x 92 x 64 cm; 另一模块94 x 94 x 64 cm","93 x 30 x 28 cm","待确认","high","上下拼接长图"
"妈妈的怀抱沙发","脚踏","95 x 80 x 37 cm","93 x 30 x 28 cm","待确认","high","上下拼接长图"
"沙皮狗拉床","沙发床","沙发态200 x 120 x 70 cm; 展开约210 x 200 cm","140 x 55 x 42 cm","待确认","high","详情图修正版"
"泰迪-A-贵妃","贵妃组合","280 x 170 x 70 cm","150 x 150 x 30 cm","待确认","high","详情图显示2个压缩包"
"泰迪熊沙发-A","沙发床","沙发态180 x 100 x 70 cm; 展开约180 x 200 cm","待确认","待确认","medium","详情图显示 Small 150 / Medium 180 / Large 200，但未清楚标包装尺寸"
"腰果沙发","单人/组合","单人80/100 x 80/100 x 约65 cm; 组合总宽240/280/340 cm，深103 cm，高55 cm","待确认","待确认","medium","详情页文字可读，包装重量未显示"
"皮埃蒙特","单人","约85/110 x 85/105 x 63 cm","大包约95 x 55 x 30 cm; 小包约85 x 45 x 20 cm","待确认","medium","详情图字较小，需二次确认"
"瑜伽椅","躺椅","主体约80 x 160 x 70 cm","约100 x 100 x 20 cm","待确认","medium","详情图脚垫尺寸和重量不清"
"豆腐块高靠沙发1","单人模块","80 x 100 x 72 cm","38 x 38 x 85 cm","17","high","Single Seater Dimension Spec"
"豆腐块高靠沙发1","双人","220 x 100 x 72 cm","45 x 45 x 110 cm x2","50","high","Multi-color Double Seater Dimension Spec"
"豆腐块高靠沙发1","三人","300 x 100 x 72 cm","45 x 45 x 110 cm x2 + 38 x 38 x 85 cm x1","净重66; 总重70","high","Cream Three Seater Dimension Spec"
