"sku","slug","style_name","product_name_zh","category","color_or_option","spec_type","dimensions","package_dimensions","weight_kg","spec_confidence","spec_note","price_eur","stock","material","packaging_method","rebound_time","main_image","gallery_images","detail_image","import_status"
"BS-TOFUHIGHBACKSOFA-01","tofu-highback-sofa-01","豆腐块高靠沙发1","豆腐块高靠沙发1 多色组合 / 带脚垫","combo","多色组合 / 带脚垫","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-01/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-01/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-02","tofu-highback-sofa-02","豆腐块高靠沙发1","豆腐块高靠沙发1 多色组合","combo","多色组合","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-02/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-02/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-03","tofu-highback-sofa-03","豆腐块高靠沙发1","豆腐块高靠沙发1 卡其黄色","single","卡其黄色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-03/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-03/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-04","tofu-highback-sofa-04","豆腐块高靠沙发1","豆腐块高靠沙发1 米白色","single","米白色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-04/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-04/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-05","tofu-highback-sofa-05","豆腐块高靠沙发1","豆腐块高靠沙发1 深灰色","single","深灰色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-05/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-05/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-06","tofu-highback-sofa-06","豆腐块高靠沙发1","豆腐块高靠沙发1","single","标准款","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-01.png | /assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-02.jpg | /assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-03.jpg","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-PEBBLESOFA-01","pebble-sofa-01","鹅卵石沙发","鹅卵石沙发","single","标准款","组合","约480 x 230 cm","3箱，每箱约50 x 50 x 130 cm","70","medium","详情图未清楚显示高度，显示总重70kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/pebble-sofa/pebble-sofa-01/main-01.jpg","/assets/catalog/pebble-sofa/pebble-sofa-01/main-01.jpg | /assets/catalog/pebble-sofa/pebble-sofa-01/main-02.png","/assets/catalog/pebble-sofa/detail.jpg","matched_spec_needs_review"
"BS-PEANUTSOFABED-01","peanut-sofa-bed-01","花生沙发床","花生沙发床","single","标准款","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-01.jpg","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-01.jpg | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-02.jpg | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-03.jpg","/assets/catalog/peanut-sofa-bed/detail.jpg","matched_spec_needs_review"
"BS-PEANUTSOFABED-02","peanut-sofa-bed-02","花生沙发床","花生沙发床 橙色","single","橙色","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-01.png","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-01.png | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-02.png","/assets/catalog/peanut-sofa-bed/detail.jpg","matched_spec_needs_review"
"BS-PEANUTSOFABED-03","peanut-sofa-bed-03","花生沙发床","花生沙发床 灰咖色","single","灰咖色","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-03/main-01.png","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-03/main-01.png | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-03/main-02.png","/assets/catalog/peanut-sofa-bed/detail.jpg","matched_spec_needs_review"
