"sku","slug","style_name","product_name_zh","category","color_or_option","spec_type","dimensions","package_dimensions","weight_kg","spec_confidence","spec_note","price_eur","stock","material","packaging_method","rebound_time","main_image","gallery_images","detail_image","import_status"
"BS-CHAMELEONMARIOSOFA-01","chameleon-mario-sofa-01","变色龙（马里奥）沙发","变色龙（马里奥）沙发 多色组合","combo","多色组合","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-01/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-01/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-02","chameleon-mario-sofa-02","变色龙（马里奥）沙发","变色龙（马里奥）沙发 红色 / 带扶手","single","红色 / 带扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-02/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-02/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-03","chameleon-mario-sofa-03","变色龙（马里奥）沙发","变色龙（马里奥）沙发 红色 / 无扶手","single","红色 / 无扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-03/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-03/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-04","chameleon-mario-sofa-04","变色龙（马里奥）沙发","变色龙（马里奥）沙发 绿色 / 带扶手","single","绿色 / 带扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-04/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-04/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-05","chameleon-mario-sofa-05","变色龙（马里奥）沙发","变色龙（马里奥）沙发 绿色 / 无扶手","single","绿色 / 无扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-05/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-05/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-06","chameleon-mario-sofa-06","变色龙（马里奥）沙发","变色龙（马里奥）沙发 米白色 / 带扶手","single","米白色 / 带扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-06/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-06/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-07","chameleon-mario-sofa-07","变色龙（马里奥）沙发","变色龙（马里奥）沙发 米白色 / 无扶手","single","米白色 / 无扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-07/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-07/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-CHAMELEONMARIOSOFA-08","chameleon-mario-sofa-08","变色龙（马里奥）沙发","变色龙（马里奥）沙发 三色组合 / 带扶手","combo","三色组合 / 带扶手","标准/带扶手","95 x 95 x 70 cm","105 x 105 x 30 cm","30","high","详情图 style-reference-long-hires","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-08/main-01.png","/assets/catalog/chameleon-mario-sofa/chameleon-mario-sofa-08/main-01.png","/assets/catalog/chameleon-mario-sofa/detail.jpg","matched_spec"
"BS-SINGLE029FLEECE-01","single-029-fleece-01","单人029兔绒","单人029兔绒","single","标准款","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/single-029-fleece/single-029-fleece-01/main-01.png","/assets/catalog/single-029-fleece/single-029-fleece-01/main-01.png","/assets/catalog/single-029-fleece/detail.png","matched_spec"
"BS-SINGLE029FLEECE-02","single-029-fleece-02","单人029兔绒","单人029兔绒 多色组合","combo","多色组合","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/single-029-fleece/single-029-fleece-02/main-01.png","/assets/catalog/single-029-fleece/single-029-fleece-02/main-01.png","/assets/catalog/single-029-fleece/detail.png","matched_spec"
"BS-SINGLE029FLEECE-03","single-029-fleece-03","单人029兔绒","单人029兔绒 黑色","single","黑色","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/single-029-fleece/single-029-fleece-03/main-01.png","/assets/catalog/single-029-fleece/single-029-fleece-03/main-01.png","/assets/catalog/single-029-fleece/detail.png","matched_spec"
"BS-SINGLE029FLEECE-04","single-029-fleece-04","单人029兔绒","单人029兔绒 姜黄色","single","姜黄色","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/single-029-fleece/single-029-fleece-04/main-01.png","/assets/catalog/single-029-fleece/single-029-fleece-04/main-01.png","/assets/catalog/single-029-fleece/detail.png","matched_spec"
"BS-SINGLE029FLEECE-05","single-029-fleece-05","单人029兔绒","单人029兔绒 米白色","single","米白色","单人","83 x 88 x 75 cm","30 x 30 x 93 cm","14","high","详情图 Dimensions & Packaging：宽83、深88、高75，包装30x30x93，重量14kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/single-029-fleece/single-029-fleece-05/main-01.png","/assets/catalog/single-029-fleece/single-029-fleece-05/main-01.png","/assets/catalog/single-029-fleece/detail.png","matched_spec"
"BS-EGGSHELLSOFA-01","eggshell-sofa-01","蛋壳沙发","蛋壳沙发 豆绿色","single","豆绿色","沙发床","沙发态200 x 65 x 90 cm; 展开约200 x 200 x 33 cm","120 x 36 x 36 cm","30","high","详情图 Dimensions & Packaging","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/eggshell-sofa/eggshell-sofa-01/main-01.png","/assets/catalog/eggshell-sofa/eggshell-sofa-01/main-01.png | /assets/catalog/eggshell-sofa/eggshell-sofa-01/main-02.png","/assets/catalog/eggshell-sofa/detail.jpg","matched_spec"
"BS-EGGSHELLSOFA-02","eggshell-sofa-02","蛋壳沙发","蛋壳沙发 灰色","single","灰色","沙发床","沙发态200 x 65 x 90 cm; 展开约200 x 200 x 33 cm","120 x 36 x 36 cm","30","high","详情图 Dimensions & Packaging","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/eggshell-sofa/eggshell-sofa-02/main-01.png","/assets/catalog/eggshell-sofa/eggshell-sofa-02/main-01.png | /assets/catalog/eggshell-sofa/eggshell-sofa-02/main-02.png | /assets/catalog/eggshell-sofa/eggshell-sofa-02/main-03.png","/assets/catalog/eggshell-sofa/detail.jpg","matched_spec"
"BS-EGGSHELLSOFA-03","eggshell-sofa-03","蛋壳沙发","蛋壳沙发 蓝色","single","蓝色","沙发床","沙发态200 x 65 x 90 cm; 展开约200 x 200 x 33 cm","120 x 36 x 36 cm","30","high","详情图 Dimensions & Packaging","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/eggshell-sofa/eggshell-sofa-03/main-01.png","/assets/catalog/eggshell-sofa/eggshell-sofa-03/main-01.png | /assets/catalog/eggshell-sofa/eggshell-sofa-03/main-02.png","/assets/catalog/eggshell-sofa/detail.jpg","matched_spec"
"BS-TOFUHIGHBACKSOFA-01","tofu-highback-sofa-01","豆腐块高靠沙发1","豆腐块高靠沙发1 多色组合 / 带脚垫","combo","多色组合 / 带脚垫","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-01/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-01/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-02","tofu-highback-sofa-02","豆腐块高靠沙发1","豆腐块高靠沙发1 多色组合","combo","多色组合","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-02/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-02/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-03","tofu-highback-sofa-03","豆腐块高靠沙发1","豆腐块高靠沙发1 卡其黄色","single","卡其黄色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-03/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-03/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-04","tofu-highback-sofa-04","豆腐块高靠沙发1","豆腐块高靠沙发1 米白色","single","米白色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-04/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-04/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-05","tofu-highback-sofa-05","豆腐块高靠沙发1","豆腐块高靠沙发1 深灰色","single","深灰色","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-05/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-05/main-01.png","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-TOFUHIGHBACKSOFA-06","tofu-highback-sofa-06","豆腐块高靠沙发1","豆腐块高靠沙发1","single","标准款","","","","","","","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-01.png","/assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-01.png | /assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-02.jpg | /assets/catalog/tofu-highback-sofa/tofu-highback-sofa-06/main-03.jpg","/assets/catalog/tofu-highback-sofa/detail.jpg","needs_manual_spec_match"
"BS-PEBBLESOFA-01","pebble-sofa-01","鹅卵石沙发","鹅卵石沙发","single","标准款","组合","约480 x 230 cm","3箱，每箱约50 x 50 x 130 cm","70","medium","详情图未清楚显示高度，显示总重70kg","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/pebble-sofa/pebble-sofa-01/main-01.jpg","/assets/catalog/pebble-sofa/pebble-sofa-01/main-01.jpg | /assets/catalog/pebble-sofa/pebble-sofa-01/main-02.png","/assets/catalog/pebble-sofa/detail.jpg","matched_spec_needs_review"
"BS-PETALSOFA-01","petal-sofa-01","花瓣沙发","花瓣沙发 多色组合","combo","多色组合","单人圆形","约100 x 100 x 60 cm","约100 x 100 x 35 cm","23","high","详情图左右切片拼接长图","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/petal-sofa/petal-sofa-01/main-01.png","/assets/catalog/petal-sofa/petal-sofa-01/main-01.png","/assets/catalog/petal-sofa/detail.png","matched_spec"
"BS-PETALSOFA-02","petal-sofa-02","花瓣沙发","花瓣沙发 绿色","single","绿色","单人圆形","约100 x 100 x 60 cm","约100 x 100 x 35 cm","23","high","详情图左右切片拼接长图","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/petal-sofa/petal-sofa-02/main-01.png","/assets/catalog/petal-sofa/petal-sofa-02/main-01.png","/assets/catalog/petal-sofa/detail.png","matched_spec"
"BS-PEANUTSOFABED-01","peanut-sofa-bed-01","花生沙发床","花生沙发床","single","标准款","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-01.jpg","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-01.jpg | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-02.jpg | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-01/main-03.jpg","/assets/catalog/peanut-sofa-bed/detail.jpg","matched_spec_needs_review"
"BS-PEANUTSOFABED-02","peanut-sofa-bed-02","花生沙发床","花生沙发床 橙色","single","橙色","沙发床","沙发态约200 x 84 x 70 cm; 展开约200 x 100 x 35 cm","待确认","20","medium","详情图包装箱尺寸未清楚标注","","","","真空压缩包装，待厂家确认","24-72 小时，待厂家确认","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-01.png","/assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-01.png | /assets/catalog/peanut-sofa-bed/peanut-sofa-bed-02/main-02.png","/assets/catalog/peanut-sofa-bed/detail.jpg","matched_spec_needs_review"
