"style_name","style_slug","direct_main_images","nested_support_images","detail_images","selected_detail_image","status"
"变色龙（马里奥）沙发","chameleon-mario-sofa","8","0","9","D:\沙发网站\厂家资料-待整理\详情图\变色龙（马里奥）沙发\变色龙（马里奥）沙发_详情图_08_style-reference-long-hires.jpg","ready_for_draft"
"单人029兔绒","single-029-fleece","5","30","1","D:\沙发网站\厂家资料-待整理\详情图\单人029兔绒\单人029兔绒_详情图_02_NanoBanana-2026-06-30_(1)_修正版_尺寸图重做.png","ready_for_draft"
"蛋壳沙发","eggshell-sofa","7","0","1","D:\沙发网站\厂家资料-待整理\详情图\蛋壳沙发\蛋壳沙发_详情图_01_NanoBanana-2026-06-30_(2).jpg","ready_for_draft"
"豆腐块高靠沙发1","tofu-highback-sofa","8","0","36","D:\沙发网站\厂家资料-待整理\详情图\豆腐块高靠沙发1\豆腐块高靠沙发1_原始素材_23_DPP_11664829.jpg","ready_for_draft"
"鹅卵石沙发","pebble-sofa","2","0","1","D:\沙发网站\厂家资料-待整理\详情图\鹅卵石沙发\鹅卵石沙发_详情图_08_nano-banana-free-DAO7AkhdzAQkEHfh1wAWPp1nOXp7D6rrVLN.jpg","ready_for_draft"
"花瓣沙发","petal-sofa","2","0","1","D:\沙发网站\厂家资料-待整理\详情图\花瓣沙发\花瓣沙发_左右切片拼接长图.png","ready_for_draft"
"花生沙发床","peanut-sofa-bed","7","0","1","D:\沙发网站\厂家资料-待整理\详情图\花生沙发床\花生沙发床_详情图_08_NanoBanana-2026-06-30.jpg","ready_for_draft"
"华夫格沙发","waffle-sofa","17","0","2","D:\沙发网站\厂家资料-待整理\详情图\华夫格沙发\NanoBanana-2026-07-03.png","ready_for_draft"
"饺子椅","dumpling-chair","3","0","1","D:\沙发网站\厂家资料-待整理\详情图\饺子椅\饺子椅_详情图_08_NanoBanana-2026-06-30.jpg","ready_for_draft"
"可戚风","chiffon-sofa","6","0","2","D:\沙发网站\厂家资料-待整理\详情图\可戚风\NanoBanana-2026-07-03.jpg","ready_for_draft"
"莱米沙发","remy-sofa","12","0","1","D:\沙发网站\厂家资料-待整理\详情图\莱米沙发\莱米沙发_详情图_01_NanoBanana-2026-06-30.png","ready_for_draft"
"妈妈的怀抱沙发","mama-hug-sofa","6","0","2","D:\沙发网站\厂家资料-待整理\详情图\妈妈的怀抱沙发\妈妈的怀抱沙发_上下拼接长图.png","ready_for_draft"
"毛毛虫沙发","caterpillar-sofa","23","0","3","D:\沙发网站\厂家资料-待整理\详情图\毛毛虫沙发\nano-banana-apimiiEUzUw06SS7wGTBU3cDSJw1vukfESC.png","ready_for_draft"
"棉花糖沙发1","marshmallow-sofa","10","0","2","D:\沙发网站\厂家资料-待整理\详情图\棉花糖沙发1\棉花糖沙发_上下拼接长图.png","ready_for_draft"
"泡泡沙发","bubble-sofa","7","0","1","D:\沙发网站\厂家资料-待整理\详情图\泡泡沙发\NanoBanana-2026-07-03.jpg","ready_for_draft"
"皮埃蒙特","piemonte-sofa","4","0","1","D:\沙发网站\厂家资料-待整理\详情图\皮埃蒙特\NanoBanana-2026-07-03 (1).jpg","ready_for_draft"
"人类狗窝","human-dog-bed","2","0","2","D:\沙发网站\厂家资料-待整理\详情图\人类狗窝\人类狗窝_详情图_09_nano-banana-free-rMrya8WgIXnuvmCliv900zjZRHnNQzgNs1J.jpg","ready_for_draft"
"三折叠沙发","tri-fold-sofa","19","0","1","D:\沙发网站\厂家资料-待整理\详情图\三折叠沙发\三折叠沙发_详情图_08_nano-banana-free-Bn3Q6Nvq9oKipQ7mHppO18dNbs3LtJNPYDW.jpg","ready_for_draft"
"沙皮狗拉床","sharpei-sofa-bed","3","0","2","D:\沙发网站\厂家资料-待整理\详情图\沙皮狗拉床\沙皮狗拉床_原始素材_05_沙皮狗拉床_绿色_拉床状态_主图.png","ready_for_draft"
"泰迪-A-贵妃","teddy-chaise-a","3","0","1","D:\沙发网站\厂家资料-待整理\详情图\泰迪-A-贵妃\泰迪-A-贵妃_详情图_08_NanoBanana-2026-06-30_(2).jpg","ready_for_draft"
"泰迪熊沙发-A","teddy-bear-sofa-a","16","0","1","D:\沙发网站\厂家资料-待整理\详情图\泰迪熊沙发-A\泰迪熊沙发-A_详情图_08_NanoBanana-2026-06-30.jpg","ready_for_draft"
"腰果沙发","cashew-sofa","12","0","1","D:\沙发网站\厂家资料-待整理\详情图\腰果沙发\详情页.jpg","ready_for_draft"
"瑜伽椅","yoga-chair","6","0","3","D:\沙发网站\厂家资料-待整理\详情图\瑜伽椅\瑜伽椅_详情图_08_NanoBanana-2026-07-01_(1)_生活场景替换版.png","ready_for_draft"
